# wavelength_(μm) flux_(mJy) flux_unc_(mJy)
3.0725338 0.000251028 0.000070942
3.0732122 0.000291229 0.000268559
3.0738907 0.000379469 0.000235586
3.0745691 0.000562256 0.000265689
3.0752475 0.000379469 0.000261581
3.0759259 0.000453312 0.000221184
3.0766044 0.000379469 0.000285440
3.0772828 0.000337751 0.000258115
3.0779612 0.000337751 0.000270799
3.0786396 0.000427789 0.000276790
3.0793180 0.000337751 0.000230408
3.0799964 0.000337751 0.000268172
3.0806748 0.000180929 0.000284420
3.0813532 0.000131759 0.000238467
3.0820315 0.000131759 0.000247307
3.0827099 0.000125015 0.000259563
3.0833883 0.000131759 0.000204082
3.0840666 0.000125015 0.000232874
3.0847450 0.000119529 0.000295576
3.0854234 0.000119529 0.000304010
3.0861017 0.000214634 0.000308417
3.0867800 0.000301865 0.000260958
3.0874584 0.000478785 0.000311305
3.0881367 0.000478785 0.000262088
3.0888150 0.000301865 0.000148305
3.0894934 0.000204553 0.000143485
3.0901717 0.000156885 0.000150188
3.0908500 0.000156885 0.000253615
3.0915283 0.000184110 0.000267473
3.0922066 0.000156885 0.000262570
3.0928849 0.000014131 0.000287005
3.0935632 0.000180763 0.000269715
3.0942415 0.000014131 0.000204187
3.0949198 0.000014131 0.000270950
3.0955981 0.000180763 0.000256906
3.0962763 0.000388920 0.000259103
3.0969546 0.000388920 0.000226746
3.0976329 0.000388920 0.000132020
3.0983111 0.000310400 0.000159704
3.0989894 0.000305355 0.000183196
3.0996676 0.000234763 0.000132160
3.1003459 0.000216305 0.000276041
3.1010241 0.000216226 0.000239783
3.1017023 0.000158249 0.000316508
3.1023806 0.000142816 0.000308175
3.1030588 0.000088190 0.000243134
3.1037370 0.000088190 0.000233087
3.1044152 0.000088190 0.000230953
3.1050934 0.000088190 0.000165283
3.1057716 0.000088190 0.000314099
3.1064498 0.000088330 0.000326476
3.1071280 0.000134249 0.000334787
3.1078062 0.000372544 0.000344200
3.1084844 0.000372544 0.000297246
3.1091625 0.000481603 0.000327197
3.1098407 0.000568837 0.000306467
3.1105189 0.000568837 0.000327021
3.1111970 0.000481603 0.000317993
3.1118752 0.000258094 0.000275043
3.1125534 0.000244891 0.000298372
3.1132315 0.000217023 0.000265812
3.1139096 0.000150958 0.000253938
3.1145878 0.000150958 0.000216682
3.1152659 0.000150958 0.000319928
3.1159440 0.000150958 0.000322287
3.1166222 0.000301490 0.000275435
3.1173003 0.000301490 0.000189855
3.1179784 0.000381738 0.000144978
3.1186565 0.000301490 0.000062812
3.1193346 0.000301490 0.000019756
3.1200127 0.000381738 0.000275490
3.1206908 0.000381738 0.000291019
3.1213689 0.000394059 0.000283272
3.1220469 0.000457708 0.000319319
3.1227250 0.000448974 0.000315436
3.1234031 0.000448974 0.000290064
3.1240812 0.000701674 0.000287700
3.1247592 0.000448974 0.000274735
3.1254373 0.000401646 0.000279462
3.1261153 0.000401646 0.000254396
3.1267934 0.000412166 0.000294300
3.1274714 0.000401646 0.000255348
3.1281494 0.000412166 0.000306258
3.1288275 0.000412166 0.000252053
3.1295055 0.000397678 0.000195978
3.1301835 0.000397678 0.000186693
3.1308615 0.000402968 0.000234944
3.1315395 0.000397678 0.000099919
3.1322176 0.000397678 0.000030442
3.1328955 0.000380187 0.000213005
3.1335735 0.000380187 0.000216764
3.1342515 0.000221772 0.000226968
3.1349295 0.000221772 0.000246231
3.1356075 0.000321790 0.000277460
3.1362855 0.000321790 0.000274919
3.1369634 0.000248948 0.000259875
3.1376414 0.000321790 0.000121052
3.1383194 0.000248948 0.000229363
3.1389973 0.000248948 0.000180494
3.1396753 0.000631052 0.000212597
3.1403532 0.000631052 0.000271488
3.1410312 0.000471482 0.000270921
3.1417091 0.000471482 0.000291865
3.1423870 0.000318321 0.000247116
3.1430649 0.000318321 0.000195981
3.1437429 0.000318321 0.000122754
3.1444208 0.000318321 0.000154708
3.1450987 0.000453370 0.000148073
3.1457766 0.000456674 0.000144859
3.1464545 0.000453370 0.000143387
3.1471324 0.000456674 0.000238450
3.1478103 0.000453370 0.000177388
3.1484881 0.000484657 0.000476976
3.1491660 0.000445085 0.000199297
3.1498439 0.000484657 0.000205574
3.1505218 0.000484657 0.000229709
3.1511996 0.000580983 0.000228404
3.1518775 0.000580983 0.000266437
3.1525553 0.000580983 0.000270869
3.1532332 0.000580983 0.000271053
3.1539110 0.000584629 0.000244136
3.1545889 0.000571789 0.000196288
3.1552667 0.000571789 0.000258904
3.1559445 0.000557747 0.000266825
3.1566224 0.000463748 0.000188026
3.1573002 0.000279313 0.000205693
3.1579780 0.000463748 0.000164887
3.1586558 0.000539195 0.000187930
3.1593336 0.000539195 0.000132810
3.1600114 0.000656034 0.000123789
3.1606892 0.000656034 0.000094791
3.1613670 0.000585189 0.000178462
3.1620448 0.000585189 0.000237208
3.1627225 0.000482080 0.000028723
3.1634003 0.000482080 0.000309730
3.1640781 0.000482080 0.000248361
3.1647558 0.000615789 0.000212798
3.1654336 0.000804868 0.000212954
3.1661113 0.000804868 0.000229614
3.1667891 0.000804868 0.000253876
3.1674668 0.000804868 0.000245443
3.1681446 0.000551395 0.000217882
3.1688223 0.000551395 0.000150904
3.1695000 0.000708630 0.000140597
3.1701777 0.000708630 0.000186543
3.1708555 0.000551395 0.000145938
3.1715332 0.000381716 0.000170003
3.1722109 0.000381716 0.000055212
3.1728886 0.000381716 0.000256006
3.1735663 0.000503459 0.000171014
3.1742440 0.000809417 0.000238518
3.1749217 0.001140126 0.000163175
3.1755993 0.001167301 0.000193864
3.1762770 0.001167301 0.000272332
3.1769547 0.001140126 0.000195860
3.1776324 0.000972483 0.000287412
3.1783100 0.000791323 0.000347546
3.1789877 0.000759062 0.000256457
3.1796653 0.000757543 0.000250852
3.1803430 0.000753024 0.000186640
3.1810206 0.000753024 0.000292366
3.1816982 0.000753024 0.000284447
