# wavelength_(/cm) continuum_(mJy)
3.2934388 0.038441232
3.2941156 0.038462149
3.2947924 0.038483057
3.2954692 0.038503953
3.2961460 0.038524839
3.2968228 0.038545712
3.2974995 0.038566576
3.2981763 0.038587427
3.2988531 0.038608269
3.2995298 0.038629098
3.3002066 0.038649917
3.3008833 0.038670725
3.3015601 0.038691522
3.3022368 0.038712309
3.3029135 0.038733083
3.3035903 0.038753846
3.3042670 0.038774598
3.3049437 0.038795340
3.3056204 0.038816071
3.3062971 0.038836790
3.3069738 0.038857499
3.3076505 0.038878196
3.3083272 0.038898882
3.3090039 0.038919557
3.3096806 0.038940222
3.3103572 0.038960875
3.3110339 0.038981517
3.3117106 0.039002149
3.3123872 0.039022769
3.3130639 0.039043378
3.3137405 0.039063977
3.3144172 0.039084563
3.3150938 0.039105139
3.3157704 0.039125705
3.3164471 0.039146259
3.3171237 0.039166802
3.3178003 0.039187335
3.3184769 0.039207856
3.3191535 0.039228366
3.3198301 0.039248865
3.3205067 0.039269354
3.3211833 0.039289831
3.3218599 0.039310298
3.3225365 0.039330752
3.3232131 0.039351197
3.3238897 0.039371630
3.3245662 0.039392054
3.3252428 0.039412465
3.3259194 0.039432866
3.3265959 0.039453255
3.3272725 0.039473634
3.3279490 0.039494001
3.3286255 0.039514359
3.3293021 0.039534705
3.3299786 0.039555040
3.3306551 0.039575363
3.3313316 0.039595676
3.3320082 0.039615978
3.3326847 0.039636270
3.3333612 0.039656550
3.3340377 0.039676819
3.3347142 0.039697078
3.3353906 0.039717326
3.3360671 0.039737562
3.3367436 0.039757788
3.3374201 0.039778003
3.3380965 0.039798206
3.3387730 0.039818399
3.3394495 0.039838581
3.3401259 0.039858751
3.3408024 0.039878912
3.3414788 0.039899062
3.3421552 0.039919200
3.3428317 0.039939327
3.3435081 0.039959445
3.3441845 0.039979551
3.3448609 0.039999646
3.3455373 0.040019729
3.3462138 0.040039802
3.3468902 0.040059865
3.3475666 0.040079916
3.3482429 0.040099956
3.3489193 0.040119987
3.3495957 0.040140006
3.3502721 0.040160013
3.3509485 0.040180011
3.3516248 0.040199997
3.3523012 0.040219973
3.3529775 0.040239938
3.3536539 0.040259891
3.3543302 0.040279834
3.3550066 0.040299766
3.3556829 0.040319688
3.3563592 0.040339598
3.3570356 0.040359497
3.3577119 0.040379386
3.3583882 0.040399264
3.3590645 0.040419131
3.3597408 0.040438987
3.3604171 0.040458833
3.3610934 0.040478668
3.3617697 0.040498491
3.3624460 0.040518305
3.3631223 0.040538106
3.3637985 0.040557898
3.3644748 0.040577679
3.3651511 0.040597449
3.3658273 0.040617208
3.3665036 0.040636956
3.3671798 0.040656693
3.3678561 0.040676421
3.3685323 0.040696135
3.3692086 0.040715841
3.3698848 0.040735536
3.3705610 0.040755219
3.3712372 0.040774891
3.3719135 0.040794554
3.3725897 0.040814205
3.3732659 0.040833845
3.3739421 0.040853476
3.3746183 0.040873095
3.3752945 0.040892702
3.3759706 0.040912300
3.3766468 0.040931887
3.3773230 0.040951463
3.3779992 0.040971028
3.3786753 0.040990583
3.3793515 0.041010126
3.3800276 0.041029659
3.3807038 0.041049181
3.3813799 0.041068693
3.3820561 0.041088193
3.3827322 0.041107684
3.3834083 0.041127163
3.3840844 0.041146631
3.3847606 0.041166090
3.3854367 0.041185537
3.3861128 0.041204974
3.3867889 0.041224399
3.3874650 0.041243815
3.3881411 0.041263218
3.3888172 0.041282613
3.3894933 0.041301996
3.3901693 0.041321368
3.3908454 0.041340730
3.3915215 0.041360080
3.3921975 0.041379420
3.3928736 0.041398749
3.3935496 0.041418068
3.3942257 0.041437377
3.3949017 0.041456675
3.3955778 0.041475961
3.3962538 0.041495237
3.3969298 0.041514503
3.3976059 0.041533758
3.3982819 0.041553001
3.3989579 0.041572236
3.3996339 0.041591458
3.4003099 0.041610669
3.4009859 0.041629871
3.4016619 0.041649063
3.4023379 0.041668242
3.4030139 0.041687412
3.4036898 0.041706571
3.4043658 0.041725719
3.4050418 0.041744856
3.4057177 0.041763984
3.4063937 0.041783100
3.4070696 0.041802206
3.4077456 0.041821301
3.4084215 0.041840385
3.4090975 0.041859460
3.4097734 0.041878523
3.4104493 0.041897575
3.4111252 0.041916618
3.4118012 0.041935649
3.4124771 0.041954671
3.4131530 0.041973679
3.4138289 0.041992680
3.4145048 0.042011669
3.4151807 0.042030648
3.4158565 0.042049615
3.4165324 0.042068573
3.4172083 0.042087519
3.4178842 0.042106455
3.4185600 0.042125381
3.4192359 0.042144296
3.4199118 0.042163199
3.4205876 0.042182094
3.4212634 0.042200977
3.4219393 0.042219849
3.4226151 0.042238712
3.4232910 0.042257562
3.4239668 0.042276404
3.4246426 0.042295234
3.4253184 0.042314053
3.4259942 0.042332862
3.4266700 0.042351661
3.4273458 0.042370450
3.4280216 0.042389228
3.4286974 0.042407995
3.4293732 0.042426751
3.4300490 0.042445497
3.4307247 0.042464232
3.4314005 0.042482957
3.4320763 0.042501671
3.4327520 0.042520376
3.4334278 0.042539069
3.4341035 0.042557753
3.4347793 0.042576424
3.4354550 0.042595086
3.4361308 0.042613738
3.4368065 0.042632378
3.4374822 0.042651009
3.4381579 0.042669628
3.4388336 0.042688238
3.4395094 0.042706836
3.4401851 0.042725424
3.4408608 0.042744002
3.4415365 0.042762570
3.4422121 0.042781126
3.4428878 0.042799673
3.4435635 0.042818208
3.4442392 0.042836734
3.4449148 0.042855249
3.4455905 0.042873753
3.4462662 0.042892246
3.4469418 0.042910731
3.4476175 0.042929203
3.4482931 0.042947666
3.4489687 0.042966118
3.4496444 0.042984560
3.4503200 0.043002990
3.4509956 0.043021412
3.4516712 0.043039822
3.4523469 0.043058221
