# wavenumber_(/cm) absorbance absorbance_unc
3232.5184111 2.149065536 0.360887700
3231.8097989 2.463981736 0.360887700
3231.1014974 2.348434736 0.360887700
3230.3935062 2.162588536 0.360887700
3229.6859295 1.892566036 0.339160000
3228.9785585 1.891820936 0.289055900
3228.2714972 1.923174836 0.160804300
3227.5648498 2.033456136 0.231720500
3226.8584075 1.998464636 0.288978800
3226.1523784 2.160755336 0.273047600
3225.4465542 2.113771536 0.360887700
3224.7411428 2.147396536 0.360887700
3224.0360398 2.130226236 0.362269500
3223.3311413 2.152856936 0.360887700
3222.6266547 2.287098636 0.360887700
3221.9224760 2.300798336 0.360887700
3221.2186050 2.304018636 0.360887700
3220.5150415 2.404397836 0.360887700
3219.8117853 2.204116536 0.360887700
3219.1088361 2.191134436 0.360887700
3218.4061938 2.138097636 0.360887700
3217.7038581 1.964025536 0.795162500
3217.0018289 1.971684236 0.508513800
3216.3002095 1.848750836 0.323913800
3215.5987926 1.778886736 0.238353600
3214.8976815 1.723120736 0.267043900
3214.1969795 1.832145036 0.396435500
3213.4964796 2.084724436 0.360887700
3212.7962849 2.076874336 0.360887700
3212.0964984 2.128406436 0.360887700
3211.3970168 2.205182136 0.360887700
3210.6977366 2.247422836 0.360887700
3209.9988640 2.140249436 0.360887700
3209.3002955 2.138398336 0.360887700
3208.6019281 2.028136136 0.712762900
3207.9039674 2.046849636 0.340227200
3207.2063103 1.913543336 0.160448700
3206.5089567 2.042457336 0.083333100
3205.8119062 2.036909436 0.028811100
3205.1151587 1.914378136 0.370076200
3204.4187140 1.906379436 0.404604000
3203.7225718 1.955167736 0.452671600
3203.0268347 1.893014136 0.405245900
3202.3312972 1.839877736 0.344506900
3201.6360616 1.855007036 0.315812600
3200.9411279 1.679569336 0.181322400
3200.2465982 1.841214436 0.310322400
3199.5522675 1.925664536 0.402932700
3198.8583403 1.895494936 0.310251400
3198.1646117 1.901711836 0.372606500
3197.4712862 1.908370436 0.344900100
3196.7782613 1.888966936 0.391346000
3196.0854346 1.891642036 0.304092400
3195.3930102 1.924881736 0.235896400
3194.7008857 1.908656936 0.216303800
3194.0090611 1.918054636 0.291909200
3193.3175360 1.930002436 0.106844000
3192.6262083 1.918151736 0.036404200
3191.9353837 1.912323136 0.250218500
3191.2447562 1.957690636 0.285963100
3190.5544274 2.169962436 0.360887700
3189.8643973 2.152017036 0.360887700
3189.1746655 1.973960436 0.428361500
3188.4852320 2.012970336 0.477000800
3187.7961981 2.116622236 0.360887700
3187.1073603 2.011710036 0.165925800
3186.4188202 2.153209236 0.823789700
3185.7306790 2.135930636 0.368848200
3185.0427336 1.715776436 0.152992800
3184.3551865 1.729821836 0.194008000
3183.6678349 1.828721436 0.307505400
3182.9808813 1.853667136 0.330845500
3182.2942241 2.028879936 0.493244900
3181.6078631 2.040338536 0.284683500
3180.9216969 2.015843136 0.157062000
