# wavenumber_(/cm) absorbance absorbance_unc
3591.1645859 0.121005493 0.003376700
3589.8702477 0.124783193 0.003001600
3588.5768422 0.125623593 0.003259800
3587.2843683 0.131684093 0.003342100
3585.9928251 0.143216893 0.003291400
3584.7022116 0.146660393 0.003393700
3583.4125268 0.144569293 0.003062700
3582.1237695 0.149435093 0.003226600
3580.8359390 0.139256593 0.003129300
3579.5490341 0.132158193 0.003032100
3578.2630539 0.149004793 0.003183200
3576.9779973 0.160008693 0.002860400
3575.6938634 0.147625893 0.003213600
3574.4106512 0.153059593 0.003176900
3573.1283596 0.171773893 0.002933700
3571.8469878 0.194754193 0.003468700
3570.5665347 0.201394693 0.003054400
3569.2869992 0.204167993 0.003183600
3568.0083805 0.207967593 0.003305600
3566.7306776 0.208309393 0.002905200
3565.4538894 0.189523293 0.003185900
3564.1780150 0.198785393 0.003003400
3562.9030534 0.204605993 0.003142800
3561.6290036 0.208479393 0.003089800
3560.3558647 0.216663793 0.003482600
3559.0836356 0.236718693 0.003129200
3557.8123154 0.242277493 0.003151200
3556.5419032 0.226872193 0.002773600
3555.2723979 0.228328793 0.003093500
3554.0037985 0.239828893 0.003122000
3552.7361042 0.256348393 0.003125700
3551.4693139 0.267050593 0.003159700
3550.2034267 0.268752793 0.002786900
3548.9384415 0.278337693 0.003268000
3547.6743576 0.294858193 0.003082100
3546.4111737 0.289479993 0.003210300
3545.1488892 0.284140493 0.003037600
3543.8875028 0.292008793 0.003371200
3542.6270138 0.292670993 0.003107200
3541.3674211 0.304878193 0.002838400
3540.1087238 0.317188093 0.003414900
3538.8509210 0.314017693 0.003007500
3537.5940116 0.320296193 0.002821600
3536.3379947 0.339600193 0.002945900
3535.0828694 0.325451593 0.003061300
3533.8286348 0.321780193 0.002965500
3532.5752898 0.331023693 0.003050700
3531.3228335 0.343818393 0.003225000
3530.0712651 0.363441493 0.003500700
3528.8205835 0.370439793 0.002739200
3527.5707878 0.385906893 0.003313600
3526.3218770 0.384858393 0.003116000
3525.0738503 0.387988993 0.003156300
3523.8267067 0.388490193 0.002798600
3522.5804452 0.391723893 0.003001400
3521.3350649 0.405313493 0.003183700
3520.0905649 0.421318093 0.003083700
3518.8469442 0.438173093 0.002882900
3517.6042020 0.445576793 0.003119600
3516.3623372 0.443447493 0.003164400
3515.1213490 0.463322493 0.002780900
3513.8812364 0.473369993 0.003364700
3512.6419986 0.477727693 0.003169600
3511.4036344 0.494986993 0.003422300
3510.1661432 0.492399593 0.003460900
3508.9295239 0.509225893 0.003239000
3508.2658779 0.505418393 0.003501000
3507.4290152 0.505351893 0.003312200
3506.5925518 0.508450793 0.003046500
3505.7564872 0.510104193 0.003252600
3504.9208212 0.521658293 0.003491000
3504.0856763 0.537337593 0.003126600
