# wavenumber_(/cm) absorbance absorbance_unc
3606.7697626 0.0702373 0.0035616
3605.4641530 0.0849242 0.0035702
3604.1594884 0.0992255 0.0042480
3602.8557676 0.0968124 0.0037821
3601.5529896 0.1087581 0.0037150
3600.2511535 0.1069292 0.0035471
3598.9502582 0.0990429 0.0032287
3597.6503026 0.0978950 0.0029616
3596.3512858 0.1038140 0.0033043
3595.0532068 0.1099431 0.0030218
3593.7560645 0.1200453 0.0032554
3592.4598579 0.1183008 0.0034647
3591.1645859 0.1227539 0.0033767
3589.8702477 0.1265316 0.0030016
3588.5768422 0.1273720 0.0032598
3587.2843683 0.1334325 0.0033421
3585.9928251 0.1449653 0.0032914
3584.7022116 0.1484088 0.0033937
3583.4125268 0.1463177 0.0030627
3582.1237695 0.1511835 0.0032266
3580.8359390 0.1410050 0.0031293
3579.5490341 0.1339066 0.0030321
3578.2630539 0.1507532 0.0031832
3576.9779973 0.1617571 0.0028604
3575.6938634 0.1493743 0.0032136
3574.4106512 0.1548080 0.0031769
3573.1283596 0.1735223 0.0029337
3571.8469878 0.1965026 0.0034687
3570.5665347 0.2031431 0.0030544
3569.2869992 0.2059164 0.0031836
3568.0083805 0.2097160 0.0033056
3566.7306776 0.2100578 0.0029052
3565.4538894 0.1912717 0.0031859
3564.1780150 0.2005338 0.0030034
3562.9030534 0.2063544 0.0031428
3561.6290036 0.2102278 0.0030898
3560.3558647 0.2184122 0.0034826
3559.0836356 0.2384671 0.0031292
3557.8123154 0.2440259 0.0031512
3556.5419032 0.2286206 0.0027736
3555.2723979 0.2300772 0.0030935
3554.0037985 0.2415773 0.0031220
3552.7361042 0.2580968 0.0031257
3551.4693139 0.2687990 0.0031597
3550.2034267 0.2705012 0.0027869
3548.9384415 0.2800861 0.0032680
3547.6743576 0.2966066 0.0030821
3546.4111737 0.2912284 0.0032103
3545.1488892 0.2858889 0.0030376
3543.8875028 0.2937572 0.0033712
3542.6270138 0.2944194 0.0031072
3541.3674211 0.3066266 0.0028384
3540.1087238 0.3189365 0.0034149
3538.8509210 0.3157661 0.0030075
3537.5940116 0.3220446 0.0028216
3536.3379947 0.3413486 0.0029459
3535.0828694 0.3272000 0.0030613
3533.8286348 0.3235286 0.0029655
3532.5752898 0.3327721 0.0030507
3531.3228335 0.3455668 0.0032250
3530.0712651 0.3651899 0.0035007
